Name,Vernacular
Prutgås,Branta bernicla
Rödhalsad gås,Branta ruficollis
Kanadagås,Branta canadensis
Vitkindad gås,Branta leucopsis
Stripgås,Anser indicus
Grågås,Anser anser
Sädgås,Anser fabalis
Spetsbergsgås,Anser brachyrhynchus
Fjällgås,Anser erythropus
Bläsgås,Anser albifrons
Knölsvan,Cygnus olor
Mindre sångsvan,Cygnus columbianus
Sångsvan,Cygnus cygnus
Nilgås,Alopochen aegyptiaca
Gravand,Tadorna tadorna
Rostand,Tadorna ferruginea
Mandarinand,Aix galericulata
Årta,Spatula querquedula
Blåvingad årta,Spatula discors
Skedand,Spatula clypeata
Snatterand,Mareca strepera
Bläsand,Mareca penelope
Amerikansk bläsand,Mareca americana
Gräsand,Anas platyrhynchos
Svartand,Anas rubripes
Stjärtand,Anas acuta
Kricka,Anas crecca
Amerikansk kricka,Anas carolinensis
Rödhuvad dykand,Netta rufina
Brunand,Aythya ferina
Vitögd dykand,Aythya nyroca
Ringand,Aythya collaris
Vigg,Aythya fuligula
Bergand,Aythya marila
Mindre bergand,Aythya affinis
Alförrädare,Polysticta stelleri
Praktejder,Somateria spectabilis
Ejder,Somateria mollissima
Strömand,Histrionicus histrionicus
Vitnackad svärta,Melanitta perspicillata
Svärta,Melanitta fusca
Amerikansk knölsvärta,Melanitta deglandi
Sibirisk knölsvärta,Melanitta stejnegeri
Sjöorre,Melanitta nigra
Amerikansk sjöorre,Melanitta americana
Alfågel,Clangula hyemalis
Knipa,Bucephala clangula
Salskrake,Mergellus albellus
Storskrake,Mergus merganser
Småskrake,Mergus serrator
Amerikansk kopparand,Oxyura jamaicensis
Järpe,Tetrastes bonasia
Tjäder,Tetrao urogallus
Orre,Lyrurus tetrix
Fjällripa,Lagopus muta
Dalripa,Lagopus lagopus
Rapphöna,Perdix perdix
Vaktel,Coturnix coturnix
Fasan,Phasianus colchicus
Smålom,Gavia stellata
Storlom,Gavia arctica
Stillahavslom,Gavia pacifica
Svartnäbbad islom,Gavia immer
Vitnäbbad islom,Gavia adamsii
Svartbrynad albatross,Thalassarche melanophris
Mindre albatross,Thalassarche chlororhynchos
Stormsvala,Hydrobates pelagicus
Klykstjärtad stormsvala,Oceanodroma leucorhoa
Stormfågel,Fulmarus glacialis
Atlantpetrell,Pterodroma feae
Gulnäbbad lira,Calonectris borealis
Grålira,Ardenna grisea
Större lira,Ardenna gravis
Mindre lira,Puffinus puffinus
Balearisk lira,Puffinus mauretanicus
Smådopping,Tachybaptus ruficollis
Gråhakedopping,Podiceps grisegena
Skäggdopping,Podiceps cristatus
Svarthakedopping,Podiceps auritus
Svarthalsad dopping,Podiceps nigricollis
Svart stork,Ciconia nigra
Vit stork,Ciconia ciconia
Bronsibis,Plegadis falcinellus
Skedstork,Platalea leucorodia
Rördrom,Botaurus stellaris
Amerikansk rördrom,Botaurus lentiginosus
Dvärgrördrom,Ixobrychus minutus
Natthäger,Nycticorax nycticorax
Rallhäger,Ardeola ralloides
Kohäger,Bubulcus ibis
Gråhäger,Ardea cinerea
Purpurhäger,Ardea purpurea
Ägretthäger,Ardea alba
Silkeshäger,Egretta garzetta
Praktfregattfågel,Fregata magnificens
Havssula,Morus bassanus
Dvärgskarv,Microcarbo pygmaeus
Toppskarv,Phalacrocorax aristotelis
Storskarv,Phalacrocorax carbo
Fiskgjuse,Pandion haliaetus
Svartvingad glada,Elanus caeruleus
Smutsgam,Neophron percnopterus
Bivråk,Pernis apivorus
Gåsgam,Gyps fulvus
Grågam,Aegypius monachus
Ormörn,Circaetus gallicus
Mindre skrikörn,Clanga pomarina
Större skrikörn,Clanga clanga
Dvärgörn,Hieraaetus pennatus
Stäppörn,Aquila nipalensis
Kejsarörn,Aquila heliaca
Kungsörn,Aquila chrysaetos
Sparvhök,Accipiter nisus
Duvhök,Accipiter gentilis
Brun kärrhök,Circus aeruginosus
Blå kärrhök,Circus cyaneus
Stäpphök,Circus macrourus
Ängshök,Circus pygargus
Röd glada,Milvus milvus
Brun glada,Milvus migrans
Havsörn,Haliaeetus albicilla
Fjällvråk,Buteo lagopus
Örnvråk,Buteo rufinus
Ormvråk,Buteo buteo
Stortrapp,Otis tarda
Kragtrapp,Chlamydotis macqueenii
Småtrapp,Tetrax tetrax
Vattenrall,Rallus aquaticus
Kornknarr,Crex crex
Mindre sumphöna,Porzana parva
Dvärgsumphöna,Porzana pusilla
Småfläckig sumphöna,Porzana porzana
Karolinasumphöna,Porzana carolina
Rörhöna,Gallinula chloropus
Sothöna,Fulica atra
Prärietrana,Antigone canadensis
Jungfrutrana,Grus virgo
Trana,Grus grus
Tjockfot,Burhinus oedicnemus
Strandskata,Haematopus ostralegus
Styltlöpare,Himantopus himantopus
Skärfläcka,Recurvirostra avosetta
Tofsvipa,Vanellus vanellus
Gråhuvad vipa,Vanellus cinereus
Stäppvipa,Vanellus gregarius
Sumpvipa,Vanellus leucurus
Ljungpipare,Pluvialis apricaria
Sibirisk tundrapipare,Pluvialis fulva
Amerikansk tundrapipare,Pluvialis dominica
Kustpipare,Pluvialis squatarola
Större strandpipare,Charadrius hiaticula
Mindre strandpipare,Charadrius dubius
Svartbent strandpipare,Charadrius alexandrinus
Mongolpipare,Charadrius mongolus
Ökenpipare,Charadrius leschenaultii
Kaspisk pipare,Charadrius asiaticus
Orientpipare,Charadrius veredus
Fjällpipare,Charadrius morinellus
Piparsnäppa,Bartramia longicauda
Småspov,Numenius phaeopus
Dvärgspov,Numenius minutus
Storspov,Numenius arquata
Myrspov,Limosa lapponica
Rödspov,Limosa limosa
Hudsonspov,Limosa haemastica
Roskarl,Arenaria interpres
Kolymasnäppa,Calidris tenuirostris
Kustsnäppa,Calidris canutus
Brushane,Calidris pugnax
Myrsnäppa,Calidris falcinellus
Spetsstjärtad snäppa,Calidris acuminata
Styltsnäppa,Calidris himantopus
Spovsnäppa,Calidris ferruginea
Mosnäppa,Calidris temminckii
Långtåsnäppa,Calidris subminuta
Rödhalsad snäppa,Calidris ruficollis
Sandlöpare,Calidris alba
Kärrsnäppa,Calidris alpina
Skärsnäppa,Calidris maritima
Gulbröstad snäppa,Calidris bairdii
Småsnäppa,Calidris minuta
Vitgumpsnäppa,Calidris fuscicollis
Prärielöpare,Calidris subruficollis
Tuvsnäppa,Calidris melanotos
Sandsnäppa,Calidris pusilla
Tundrasnäppa,Calidris mauri
Större beckasinsnäppa,Limnodromus scolopaceus
Mindre beckasinsnäppa,Limnodromus griseus
Morkulla,Scolopax rusticola
Dvärgbeckasin,Lymnocryptes minimus
Dubbelbeckasin,Gallinago media
Enkelbeckasin,Gallinago gallinago
Wilsonbeckasin,Gallinago delicata
Tereksnäppa,Xenus cinereus
Wilsonsimsnäppa,Phalaropus tricolor
Smalnäbbad simsnäppa,Phalaropus lobatus
Brednäbbad simsnäppa,Phalaropus fulicarius
Drillsnäppa,Actitis hypoleucos
Fläckdrillsnäppa,Actitis macularius
Skogssnäppa,Tringa ochropus
Amerikansk skogssnäppa,Tringa solitaria
Sibirisk gråsnäppa,Tringa brevipes
Mindre gulbena,Tringa flavipes
Rödbena,Tringa totanus
Dammsnäppa,Tringa stagnatilis
Grönbena,Tringa glareola
Svartsnäppa,Tringa erythropus
Gluttsnäppa,Tringa nebularia
Större gulbena,Tringa melanoleuca
Ökenlöpare,Cursorius cursor
Rödvingad vadarsvala,Glareola pratincola
Orientvadarsvala,Glareola maldivarum
Svartvingad vadarsvala,Glareola nordmanni
Tretåig mås,Rissa tridactyla
Ismås,Pagophila eburnea
Tärnmås,Xema sabini
Långnäbbad mås,Chroicocephalus genei
Trädmås,Chroicocephalus philadelphia
Skrattmås,Chroicocephalus ridibundus
Dvärgmås,Hydrocoloeus minutus
Rosenmås,Rhodostethia rosea
Sotvingad mås,Leucophaeus atricilla
Präriemås,Leucophaeus pipixcan
Svarthuvad mås,Ichthyaetus melanocephalus
Svarthuvad trut,Ichthyaetus ichthyaetus
Fiskmås,Larus canus
Ringnäbbad mås,Larus delawarensis
Havstrut,Larus marinus
Vittrut,Larus hyperboreus
Vitvingad trut,Larus glaucoides
Gråtrut,Larus argentatus
Kaspisk trut,Larus cachinnans
